"id","start","end","dimension","utxt","utype","itype","gtype","gmatch","gobj","htype","hcue","hobj","hnewobj","egaze","ehands","mhobj","mhtype"
1,254,260,"utterance","what's this?","w ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,264,269,"utterance","what's this?","w ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,322,326,"utterance","oh!","p ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,331,339,"utterance","oh, oh!","p ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,345,348,"utterance","oh!","p ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,358,360,"utterance","oh!","p ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,371,374,"utterance","oh!","p ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,393,400,"utterance","Sienna.","v ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,406,415,"utterance","where you going?","wx ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,436,447,"utterance","can you come back here?","yx ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,471,483,"utterance","those aren't for playing with.","dc ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,490,510,"utterance","those aren't for playing with. can you sit down?","dc yx ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,517,526,"utterance","can you sit down?","yx ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,535,549,"utterance","i know you wanna look at them.","da ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,554,566,"utterance","that's Lorelei's water.","d ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,579,588,"utterance","can you sit down?","yx ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,844,853,"utterance","look at this one.","ia ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,861,873,"utterance","do you see the ladybugs?","ya n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
